Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
51,44,51,28,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Max-Planck-Gesellschaft MPI/IPP,Intel,Germany,2018,Research,"127,520",,"5,612.83","9,793.54","5,213,184",,,"1,635.00",Submitted,3.43,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Xeon Gold,Intel Compute Module HNS2600BP,Intel Cluster,Omnipath,Intel Omni-Path,Europe,"48,331",179423
52,45,45,7,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect",King Abdullah University of Science and Technology,Cray/HPE,Saudi Arabia,2015,Academic,"196,608",,"5,536.99","7,235.17","9,738,048",,113.87,"2,834.00",Submitted,1.95,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,205",178515
53,46,52,33,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",NASA/Ames Research Center/NAS,HPE,United States,2018,Research,"124,416",,"5,444.64","8,316.52","6,931,200",,65.00,"1,685.73",Submitted,3.23,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",SLES12 SP2,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,North America,"48,408",179589
54,47,55,47,MAHTI,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2020,Academic,"169,728",,"5,388.52","7,060.68","6,362,304",,,"1,070.00",Submitted,5.04,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,"47,508",179855
55,48,54,40,Lise,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Atos,Germany,2019,Academic,"103,680",,"5,355.94","7,630.85","6,776,448",,,"1,258.00",Submitted,4.26,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,"49,361",179702
56,49,41,12,Pangea,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",Total Exploration Production,HPE,France,2013,Industry,"220,800",,"5,283.11","6,712.32","4,919,040",,162.69,"4,150.00",Submitted,1.27,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Europe,"49,546",178071
57,50,53,51,TX-GAIA (Green AI Accelerator),"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",MIT Lincoln Laboratory Supercomputing Center,HPE,United States,2019,Academic,"88,400","70,720","5,161.00","6,981.48","4,455,360",,,"1,436.00",Submitted,3.59,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",CentOS Linux 7,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HP Apollo,Omnipath,Intel Omni-Path,North America,"48,296",179603
58,,56,58,Flow Type II subsystem,"PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","Information Technology Center, Nagoya University",Fujitsu,Japan,2020,Academic,"79,560","70,720","4,880.46","7,519.30","1,880,064",,97.16,,,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,"2,100",Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),PRIMERGY CX2570 M5,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"50,495",179897
59,51,52,35,Eagle,"HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube",National Renewable Energy Laboratory,HPE,United States,2018,Research,"75,600",,"4,850.66","7,257.60","4,652,160",,,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,"3,000",CentOS,Linux,None,18,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,EDR Infiniband/ 8D Hypercube,North America,"48,481",179598
60,52,48,21,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",National Center for Atmospheric Research (NCAR),HPE,United States,2016,Research,"144,900",,"4,788.19","5,332.32","5,171,520",,87.28,"1,727.00",Submitted,2.77,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",SUSE Linux Enterprise Server 12 SP1,Linux,None,18,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,"48,418",178965
61,55,55,55,Betzy,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",UNINETT Sigma2 AS,Atos,Norway,2020,Academic,"172,032",,"4,724.79","6,193.15","5,054,016",,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",RHEL 7.7,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,713",179861
62,,56,62,PARAM Siddhi-AI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",Center for Development of Advanced Computing (C-DAC),Atos,India,2020,Research,"41,664","36,288","4,619.00","5,267.14","1,317,888",,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Mellanox HDR Infiniband,Asia,"49,466",179901
63,53,51,32,ITO - Subsystem A,"Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2018,Academic,"72,000",,"4,540.69","6,912.00","5,753,080",,62.91,,,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,"3,000",Redhat Enterprise Linux 7,Linux,None,18,Xeon Gold,Fujitsu PRIMERGY CX2550/CX2560 M4,Fujitsu PRIMERGY,Infiniband,Mellanox InfiniBand EDR,Asia,"50,421",179429
64,54,53,42,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,"93,960","83,520","4,478.00","7,345.56","1,999,871",,120.27,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 6.8,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,"50,403",179692
65,56,55,56,Atlas,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2020,Industry,"91,936","87,040","4,376.00","8,848.49","2,081,280",,,546.58,Submitted,8.01,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,"2,600",CentOS,Linux,NVIDIA Tesla V100,18,Xeon Gold 62xx (Cascade Lake),Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,"49,587",179854
66,57,52,38,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana 32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,"163,840","131,072","4,325.00","6,134.17","1,876,000",,,380.00,Submitted,11.38,Cluster,Hygon Dhyana 32C 2GHz,X86_64,"2,000",CentOS,Linux,Deep Computing Processor,32,Hygon Dhyana,Sugon TC8600,Sugon Cluster,Gigabit Ethernet,200Gb 6D-Torus,Asia,"50,797",179593
67,,56,67,CRONOS,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",EDF,Atos,France,2020,Industry,"81,600",,"4,299.33","7,136.87","6,317,568",,,"1,225.53",Submitted,3.51,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,"2,400",Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),BullSequana X,BullSequana,Infiniband,Infiniband HDR,Europe,"50,679",179899
68,59,53,45,Oakbridge-CX,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2019,Academic,"76,608",,"4,289.85","6,618.93","5,124,856",,53.53,845.09,Submitted,5.08,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",Linux,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),Fujitsu PRIMERGY CX2550/CX2560 M5,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,"50,096",179606
69,,56,69,SNL/NNSA CTS-1 Manzano,"Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2020,Research,"71,424",,"4,281.00","6,628.15","5,491,968","5,184,000",40.29,960.00,Submitted,4.46,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",Linux/TOSS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,748",179907
70,60,53,46,,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",Research Institute,HPE,Japan,2019,Research,"70,416","66,560","4,128.00","5,783.81","1,843,200",,94.29,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,"2,300",CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,Apollo 6500 XL270d Gen10,HP Apollo,Infiniband,Mellanox InfiniBand EDR,Asia,"50,810",179698
71,,56,71,Aitken 2,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",NASA/Ames Research Center/NAS,HPE,United States,2020,Research,"131,072",,"4,101.00","4,718.59","5,305,040",,70.60,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",CentOS Linux 8.1,Linux,None,64,AMD Rome,Apollo 9000,HP Apollo,Infiniband,Mellanox HDR Infiniband,North America,"48,408",179881
72,61,51,34,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Atos,France,2017,Research,"79,488",,"4,065.55","6,635.52","5,861,568",,52.68,917.00,Submitted,4.43,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",bullx SCS,Linux,None,24,Xeon Platinum,BullSequana X1000,BullSequana,Infiniband,Mellanox InfiniBand EDR,Europe,"50,414",179411
73,62,45,13,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect",Petroleum Geo-Services,Cray/HPE,United States,2015,Industry,"145,920",,"4,042.46","5,369.86","8,338,176",,,"1,800.00",Submitted,2.25,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,North America,"48,602",178556
74,63,43,21,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",ECMWF,Cray/HPE,United Kingdom,2016,Research,"126,468",,"3,944.68","4,249.33","7,171,008",,65.46,"1,897.02",Submitted,2.08,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"47,752",178431
75,64,47,19,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",ECMWF,Cray/HPE,United Kingdom,2016,Research,"126,468",,"3,944.68","4,249.33","7,171,008",,65.46,"1,897.02",Submitted,2.08,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Europe,"47,752",178749
76,65,46,50,JURECA,"T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40",Forschungszentrum Juelich (FZJ),"T-Platforms, Intel, Dell",Germany,2015,Research,"155,150","4,110","3,782.57","6,563.84","5,321,904",,68.34,"1,345.28",Submitted,2.81,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,"2,500",CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),T-Platforms V-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband EDR,Europe,"47,871",178718
77,66,51,39,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect",Indian Institute of Tropical Meteorology,Cray/HPE,India,2018,Research,"119,232",,"3,763.94","4,006.20","5,935,104",,,"1,353.23",Submitted,2.78,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect,Asia,"50,296",179416
78,67,53,54,,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",SAKURA Internet Inc. / Prunus Solutions Inc.,HPE,Japan,2019,Industry,"65,208","61,440","3,712.00","5,365.09","1,769,472",,87.12,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,"2,700",CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,Apollo 6500 XL270d Gen10,HP Apollo,Infiniband,Mellanox InfiniBand EDR,Asia,"50,809",179696
79,,56,79,LLNL Ruby,"Supermicro SYS-2029TP-HTR, Xeon Platnium 8276L 28C 2.2GHz, Cornelis Networks Omni-Path",Lawrence Livermore National Laboratory,Supermicro,United States,2020,Research,"85,568",,"3,700.15","6,023.99","5,754,624",,,,,,Cluster,Xeon Platnium 8276L 28C 2.2GHz,Intel Cascade lake,"2,200",Linux/TOSS,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),Supermicro SYS-2029TP-HTR,Supermicro SuperServer,Omnipath,Cornelis Networks Omni-Path,North America,"48,247",179866
80,68,53,62,Orion,"PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",Mississippi State University,Dell EMC,United States,2019,Academic,"70,560",,"3,665.72","5,419.01","4,298,880",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,None,20,Xeon Gold,PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Infiniband HDR,North America,"48,371",179690
81,69,52,52,Joule 2.0,"HP ProLiant XL170r/XL190r/DL360 Gen10, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100",DOE/National Energy Technology Laboratory,HPE,United States,2018,Research,"86,400","11,200","3,608.62","5,750.78","4,049,664",,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",Linux,Linux,NVIDIA Tesla P100,20,Xeon Gold,HP ProLiant XL170r/XL190r/DL360 Gen10,HP Cluster,Omnipath,Intel Omni-Path,North America,"50,452",179599
82,70,51,53,Niagara,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,"80,640",,"3,599.66","6,253.06","3,276,672",,,919.42,Submitted,3.92,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,4xEDR Infiniband,North America,"50,206",179408
83,71,44,11,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray/HPE,United States,2014,Government,"72,800","62,400","3,577.00","6,131.84","2,336,000",,,"1,498.90",Submitted,2.39,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,"2,200",Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178445
84,72,45,15,,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,Cray/HPE,United States,2015,Government,"72,800","62,400","3,577.00","6,131.84","2,336,000",,,"1,498.90",Submitted,2.39,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,"2,200",Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,"50,046",178519
85,,56,85,Eagle II,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",PCSS Poznan,Huawei,Poland,2020,Academic,"63,360",,"3,533.61","5,879.81","5,216,256",,,829.00,Submitted,4.26,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),CH121L V5 Liquid-Cooled,Huawei Cluster,Infiniband,Infiniband EDR,Europe,"50,183",179903
86,,56,86,Unizah-II,"Cray CS500, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",Saudi Aramco,HPE,Saudi Arabia,2020,Industry,"85,560",,"3,487.91","6,844.80","9,471,744",,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 7.7,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Cray CS500,Cray CS,Gigabit Ethernet,10G Ethernet,Asia,"48,751",179884
87,,56,87,Ohtaka,"PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband","The Institute for Solid State Physics, The University of Tokyo",Dell EMC,Japan,2020,Research,"215,040",,"3,486.10","5,120.00","5,811,840",,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",Red Hat Enterprise Linux,Linux,None,64,AMD Rome,PowerEdge C6525,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Asia,"50,562",179882
88,,56,88,davinci-1,"BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband",Leonardo SpA,Atos,Italy,2020,Others,"38,400","34,560","3,449.00","6,412.03","1,290,240",,108.67,,,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),"2,800",Linux,Linux,NVIDIA A100,24,AMD Rome,BullSequana X,BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,"50,840",179877
89,74,55,74,Cedar (GPU),"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,"67,584","61,440","3,371.00","5,834.40","1,780,800",,,310.00,Submitted,10.87,Cluster,Xeon Silver 4216 16C 2.1GHz,Intel Skylake,"2,100",CentOS,Linux,NVIDIA Tesla V100,16,Xeon Silver,PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179859
90,75,45,16,Topaz,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",ERDC DSRC,HPE,United States,2015,Research,"124,200",,"3,318.95","4,570.56","5,779,200",,,"5,175.00",Submitted,0.64,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,"2,300",SUSE Linux Enterprise Server 11,Linux,None,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"47,771",178523
91,76,49,32,,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100",Facebook,Self-made,United States,2017,Industry,"60,512","55,552","3,307.00","4,896.51","1,419,545",,,349.50,Submitted,9.46,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",Ubuntu Linux,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1/Relion 2904GT,Hybrid Cluster,Infiniband,Infiniband EDR,North America,"50,701",179068
92,77,48,29,DGX Saturn V,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100",NVIDIA Corporation,Nvidia,United States,2016,Vendor,"60,512","55,552","3,307.00","4,896.51","1,419,552",,67.42,349.50,Submitted,9.46,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,"2,200",Ubuntu 14.04,Linux,NVIDIA Tesla P100,20,Intel Xeon E5 (Broadwell),NVIDIA DGX-1,NVIDIA DGX,Infiniband,Infiniband EDR,North America,"48,448",178928
93,78,51,47,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",AWE,Atos,United Kingdom,2017,Research,"113,832",,"3,243.41","3,791.58","5,543,424",,,"1,134.00",Submitted,2.86,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,"2,300",bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,"47,363",179409
94,79,54,69,LLNL/NNSA CTS-1 MAGMA,"Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2019,Research,"62,400",,"3,241.24","4,592.64","5,177,088",,,887.00,Submitted,3.65,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",Linux/TOSS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Relion Cluster,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,247",179774
95,80,51,48,Mustang,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",Air Force Research Laboratory,HPE,United States,2018,Government,"55,296",,"3,221.40","4,777.57","4,866,048",,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Red Hat Enterprise Linux,Linux,None,24,Xeon Platinum,HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,North America,"49,284",179426
96,81,43,12,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Eni S.p.A.,IBM,Italy,2014,Industry,"72,000","42,000","3,188.00","4,605.00","3,978,240",,48.90,"1,227.00",Submitted,2.60,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,"2,800",Linux,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Europe,"50,489",178425
97,82,53,142,Fênix,"Bull 4029GP-TVRT, Xeon Gold 5122 4C 3.6GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2019,Industry,"60,480","57,600","3,161.00","5,371.78","1,677,312",,,389.76,Submitted,8.11,Cluster,Xeon Gold 5122 4C 3.6GHz,Intel Skylake,"3,600",CentOS,Linux,NVIDIA Tesla V100,4,Xeon Gold,Bull 4029GP-TVRT,Bull Cluster,Infiniband,Infiniband EDR,South America,"49,587",179681
98,,56,98,Toubkal,"PowerEdge C6420, CRC-StackHPC, Xeon Platnium 8276L 28C 2.2GHz, Mellanox InfiniBand HDR100",Mohammed VI Polytechnic University - African Supercomputing Centre,Dell EMC,Morocco,2020,Academic,"71,232",,"3,158.11","5,014.73","4,475,520","2,500,000",,,,,Cluster,Xeon Platnium 8276L 28C 2.2GHz,Intel Cascade lake,"2,200",CentOS Scientific-OpenStack,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR100,Africa,"50,853",179908
99,83,45,53,SORA-MA,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx 32C 1.98GHz, Tofu interconnect 2",Japan Aerospace eXploration Agency,Fujitsu,Japan,2015,Research,"110,160",,"3,157.00","3,481.06","3,350,880",,110.16,"1,652.40",Submitted,1.91,Cluster,SPARC64 XIfx 32C 1.98GHz,Sparc,"1,975",Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Asia,"50,187",178554
100,92,55,92,Lichtenberg II (Phase 1),"MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100",Technische Universitaet Darmstadt,MEGWARE,Germany,2020,Academic,"59,136",,"3,148.38","4,352.41","5,102,208",,,690.00,Submitted,4.56,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),MEGWARE MiriQuid,MEGWARE Cluster,Infiniband,Mellanox InfiniBand HDR100,Europe,"49,078",179857
101,84,43,11,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect",Government,Cray/HPE,United States,2014,Government,"225,984",,"3,143.52","4,881.25","2,541,684",,,"6,327.55",Submitted,0.50,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,"2,700",Cray Linux Environment,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,North America,"50,046",178432
102,85,45,19,Thunder,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P",Air Force Research Laboratory,HPE,United States,2015,Government,"152,692","27,056","3,126.24","5,610.48","5,572,800",,,"4,819.50",Submitted,0.65,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,"2,300",SUSE Linux Enterprise Server 11,Linux,NVIDIA Tesla K40/Intel Xeon Phi 7120P,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"49,284",178524
